PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
1,0,3,male,22.0,1,0,7.25,s,Unknown
2,1,1,female,38.0,1,0,71.2833,c,C
3,1,3,female,26.0,0,0,7.925,s,Unknown
4,1,1,female,35.0,1,0,53.1,s,C
5,0,3,male,35.0,0,0,8.05,s,Unknown
6,0,3,male,25.0,0,0,8.4583,q,Unknown
7,0,1,male,54.0,0,0,51.8625,s,E
8,0,3,male,2.0,3,1,21.075,s,Unknown
9,1,3,female,27.0,0,2,11.1333,s,Unknown
10,1,2,female,14.0,1,0,30.0708,c,Unknown
11,1,3,female,4.0,1,1,16.7,s,G
12,1,1,female,58.0,0,0,26.55,s,C
13,0,3,male,20.0,0,0,8.05,s,Unknown
14,0,3,male,39.0,1,5,31.275,s,Unknown
15,0,3,female,14.0,0,0,7.8542,s,Unknown
16,1,2,female,55.0,0,0,16.0,s,Unknown
17,0,3,male,2.0,4,1,29.125,q,Unknown
18,1,2,male,30.0,0,0,13.0,s,Unknown
19,0,3,female,31.0,1,0,18.0,s,Unknown
20,1,3,female,21.5,0,0,7.225,c,Unknown
21,0,2,male,35.0,0,0,26.0,s,Unknown
22,1,2,male,34.0,0,0,13.0,s,D
23,1,3,female,15.0,0,0,8.0292,q,Unknown
24,1,1,male,28.0,0,0,35.5,s,A
25,0,3,female,8.0,3,1,21.075,s,Unknown
26,1,3,female,38.0,1,5,31.3875,s,Unknown
27,0,3,male,25.0,0,0,7.225,c,Unknown
28,0,1,male,19.0,3,2,249.00622000000035,s,C
29,1,3,female,21.5,0,0,7.8792,q,Unknown
30,0,3,male,25.0,0,0,7.8958,s,Unknown
31,0,1,male,40.0,0,0,27.7208,c,Unknown
32,1,1,female,35.0,1,0,146.5208,c,B
33,1,3,female,21.5,0,0,7.75,q,Unknown
34,0,2,male,66.0,0,0,10.5,s,Unknown
35,0,1,male,28.0,1,0,82.1708,c,Unknown
36,0,1,male,42.0,1,0,52.0,s,Unknown
37,1,3,male,25.0,0,0,7.2292,c,Unknown
38,0,3,male,21.0,0,0,8.05,s,Unknown
39,0,3,female,18.0,2,0,18.0,s,Unknown
40,1,3,female,14.0,1,0,11.2417,c,Unknown
41,0,3,female,40.0,1,0,9.475,s,Unknown
42,0,2,female,27.0,1,0,21.0,s,Unknown
43,0,3,male,25.0,0,0,7.8958,c,Unknown
44,1,2,female,3.0,1,2,41.5792,c,Unknown
45,1,3,female,19.0,0,0,7.8792,q,Unknown
46,0,3,male,25.0,0,0,8.05,s,Unknown
47,0,3,male,25.0,1,0,15.5,q,Unknown
48,1,3,female,21.5,0,0,7.75,q,Unknown
49,0,3,male,25.0,2,0,21.6792,c,Unknown
50,0,3,female,18.0,1,0,17.8,s,Unknown
51,0,3,male,7.0,4,1,39.6875,s,Unknown
52,0,3,male,21.0,0,0,7.8,s,Unknown
53,1,1,female,49.0,1,0,76.7292,c,D
54,1,2,female,29.0,1,0,26.0,s,Unknown
55,0,1,male,65.0,0,1,61.9792,c,B
56,1,1,male,40.0,0,0,35.5,s,C
57,1,2,female,21.0,0,0,10.5,s,Unknown
58,0,3,male,28.5,0,0,7.2292,c,Unknown
59,1,2,female,5.0,1,2,27.75,s,Unknown
60,0,3,male,11.0,5,2,46.9,s,Unknown
61,0,3,male,22.0,0,0,7.2292,c,Unknown
62,1,1,female,38.0,0,0,80.0,s,B
63,0,1,male,45.0,1,0,83.475,s,C
64,0,3,male,4.0,3,2,27.9,s,Unknown
65,0,1,male,40.0,0,0,27.7208,c,Unknown
66,1,3,male,25.0,1,1,15.2458,c,Unknown
67,1,2,female,29.0,0,0,10.5,s,F
68,0,3,male,19.0,0,0,8.1583,s,Unknown
69,1,3,female,17.0,4,2,7.925,s,Unknown
70,0,3,male,26.0,2,0,8.6625,s,Unknown
71,0,2,male,32.0,0,0,10.5,s,Unknown
72,0,3,female,16.0,5,2,46.9,s,Unknown
73,0,2,male,21.0,0,0,73.5,s,Unknown
74,0,3,male,26.0,1,0,14.4542,c,Unknown
75,1,3,male,32.0,0,0,56.4958,s,Unknown
76,0,3,male,25.0,0,0,7.65,s,F
77,0,3,male,25.0,0,0,7.8958,s,Unknown
78,0,3,male,25.0,0,0,8.05,s,Unknown
79,1,2,male,0.83,0,2,29.0,s,Unknown
80,1,3,female,30.0,0,0,12.475,s,Unknown
81,0,3,male,22.0,0,0,9.0,s,Unknown
82,1,3,male,29.0,0,0,9.5,s,Unknown
83,1,3,female,21.5,0,0,7.7875,q,Unknown
84,0,1,male,28.0,0,0,47.1,s,Unknown
85,1,2,female,17.0,0,0,10.5,s,Unknown
86,1,3,female,33.0,3,0,15.85,s,Unknown
87,0,3,male,16.0,1,3,34.375,s,Unknown
88,0,3,male,25.0,0,0,8.05,s,Unknown
89,1,1,female,23.0,3,2,249.00622000000035,s,C
90,0,3,male,24.0,0,0,8.05,s,Unknown
91,0,3,male,29.0,0,0,8.05,s,Unknown
92,0,3,male,20.0,0,0,7.8542,s,Unknown
93,0,1,male,46.0,1,0,61.175,s,E
94,0,3,male,26.0,1,2,20.575,s,Unknown
95,0,3,male,59.0,0,0,7.25,s,Unknown
96,0,3,male,25.0,0,0,8.05,s,Unknown
97,0,1,male,71.0,0,0,34.6542,c,A
98,1,1,male,23.0,0,1,63.3583,c,D
99,1,2,female,34.0,0,1,23.0,s,Unknown
100,0,2,male,34.0,1,0,26.0,s,Unknown
101,0,3,female,28.0,0,0,7.8958,s,Unknown
102,0,3,male,25.0,0,0,7.8958,s,Unknown
103,0,1,male,21.0,0,1,77.2875,s,D
104,0,3,male,33.0,0,0,8.6542,s,Unknown
105,0,3,male,37.0,2,0,7.925,s,Unknown
106,0,3,male,28.0,0,0,7.8958,s,Unknown
107,1,3,female,21.0,0,0,7.65,s,Unknown
108,1,3,male,25.0,0,0,7.775,s,Unknown
109,0,3,male,38.0,0,0,7.8958,s,Unknown
110,1,3,female,21.5,1,0,24.15,q,Unknown
111,0,1,male,47.0,0,0,52.0,s,C
112,0,3,female,14.5,1,0,14.4542,c,Unknown
113,0,3,male,22.0,0,0,8.05,s,Unknown
114,0,3,female,20.0,1,0,9.825,s,Unknown
115,0,3,female,17.0,0,0,14.4583,c,Unknown
116,0,3,male,21.0,0,0,7.925,s,Unknown
117,0,3,male,70.5,0,0,7.75,q,Unknown
118,0,2,male,29.0,1,0,21.0,s,Unknown
119,0,1,male,24.0,0,1,247.5208,c,B
120,0,3,female,2.0,4,2,31.275,s,Unknown
121,0,2,male,21.0,2,0,73.5,s,Unknown
122,0,3,male,25.0,0,0,8.05,s,Unknown
123,0,2,male,32.5,1,0,30.0708,c,Unknown
124,1,2,female,32.5,0,0,13.0,s,E
125,0,1,male,54.0,0,1,77.2875,s,D
126,1,3,male,12.0,1,0,11.2417,c,Unknown
127,0,3,male,25.0,0,0,7.75,q,Unknown
128,1,3,male,24.0,0,0,7.1417,s,Unknown
129,1,3,female,21.5,1,1,22.3583,c,F
130,0,3,male,45.0,0,0,6.975,s,Unknown
131,0,3,male,33.0,0,0,7.8958,c,Unknown
132,0,3,male,20.0,0,0,7.05,s,Unknown
133,0,3,female,47.0,1,0,14.5,s,Unknown
134,1,2,female,29.0,1,0,26.0,s,Unknown
135,0,2,male,25.0,0,0,13.0,s,Unknown
136,0,2,male,23.0,0,0,15.0458,c,Unknown
137,1,1,female,19.0,0,2,26.2833,s,D
138,0,1,male,37.0,1,0,53.1,s,C
139,0,3,male,16.0,0,0,9.2167,s,Unknown
140,0,1,male,24.0,0,0,79.2,c,B
141,0,3,female,21.5,0,2,15.2458,c,Unknown
142,1,3,female,22.0,0,0,7.75,s,Unknown
143,1,3,female,24.0,1,0,15.85,s,Unknown
144,0,3,male,19.0,0,0,6.75,q,Unknown
145,0,2,male,18.0,0,0,11.5,s,Unknown
146,0,2,male,19.0,1,1,36.75,s,Unknown
147,1,3,male,27.0,0,0,7.7958,s,Unknown
148,0,3,female,9.0,2,2,34.375,s,Unknown
149,0,2,male,36.5,0,2,26.0,s,F
150,0,2,male,42.0,0,0,13.0,s,Unknown
151,0,2,male,51.0,0,0,12.525,s,Unknown
152,1,1,female,22.0,1,0,66.6,s,C
153,0,3,male,55.5,0,0,8.05,s,Unknown
154,0,3,male,40.5,0,2,14.5,s,Unknown
155,0,3,male,25.0,0,0,7.3125,s,Unknown
156,0,1,male,51.0,0,1,61.3792,c,Unknown
157,1,3,female,16.0,0,0,7.7333,q,Unknown
158,0,3,male,30.0,0,0,8.05,s,Unknown
159,0,3,male,25.0,0,0,8.6625,s,Unknown
160,0,3,male,25.0,8,2,69.55,s,Unknown
161,0,3,male,44.0,0,1,16.1,s,Unknown
162,1,2,female,40.0,0,0,15.75,s,Unknown
163,0,3,male,26.0,0,0,7.775,s,Unknown
164,0,3,male,17.0,0,0,8.6625,s,Unknown
165,0,3,male,1.0,4,1,39.6875,s,Unknown
166,1,3,male,9.0,0,2,20.525,s,Unknown
167,1,1,female,35.0,0,1,55.0,s,E
168,0,3,female,45.0,1,4,27.9,s,Unknown
169,0,1,male,40.0,0,0,25.925,s,Unknown
170,0,3,male,28.0,0,0,56.4958,s,Unknown
171,0,1,male,61.0,0,0,33.5,s,B
172,0,3,male,4.0,4,1,29.125,q,Unknown
173,1,3,female,1.0,1,1,11.1333,s,Unknown
174,0,3,male,21.0,0,0,7.925,s,Unknown
175,0,1,male,56.0,0,0,30.6958,c,A
176,0,3,male,18.0,1,1,7.8542,s,Unknown
177,0,3,male,25.0,3,1,25.4667,s,Unknown
178,0,1,female,50.0,0,0,28.7125,c,C
179,0,2,male,30.0,0,0,13.0,s,Unknown
180,0,3,male,36.0,0,0,0.0,s,Unknown
181,0,3,female,21.5,8,2,69.55,s,Unknown
182,0,2,male,30.0,0,0,15.05,c,Unknown
183,0,3,male,9.0,4,2,31.3875,s,Unknown
184,1,2,male,1.0,2,1,39.0,s,F
185,1,3,female,4.0,0,2,22.025,s,Unknown
186,0,1,male,40.0,0,0,50.0,s,A
187,1,3,female,21.5,1,0,15.5,q,Unknown
188,1,1,male,45.0,0,0,26.55,s,Unknown
189,0,3,male,40.0,1,1,15.5,q,Unknown
190,0,3,male,36.0,0,0,7.8958,s,Unknown
191,1,2,female,32.0,0,0,13.0,s,Unknown
192,0,2,male,19.0,0,0,13.0,s,Unknown
193,1,3,female,19.0,1,0,7.8542,s,Unknown
194,1,2,male,3.0,1,1,26.0,s,F
195,1,1,female,44.0,0,0,27.7208,c,B
196,1,1,female,58.0,0,0,146.5208,c,B
197,0,3,male,25.0,0,0,7.75,q,Unknown
198,0,3,male,42.0,0,1,8.4042,s,Unknown
199,1,3,female,21.5,0,0,7.75,q,Unknown
200,0,2,female,24.0,0,0,13.0,s,Unknown
201,0,3,male,28.0,0,0,9.5,s,Unknown
202,0,3,male,25.0,8,2,69.55,s,Unknown
203,0,3,male,34.0,0,0,6.4958,s,Unknown
204,0,3,male,45.5,0,0,7.225,c,Unknown
205,1,3,male,18.0,0,0,8.05,s,Unknown
206,0,3,female,2.0,0,1,10.4625,s,G
207,0,3,male,32.0,1,0,15.85,s,Unknown
208,1,3,male,26.0,0,0,18.7875,c,Unknown
209,1,3,female,16.0,0,0,7.75,q,Unknown
210,1,1,male,40.0,0,0,31.0,c,A
211,0,3,male,24.0,0,0,7.05,s,Unknown
212,1,2,female,35.0,0,0,21.0,s,Unknown
213,0,3,male,22.0,0,0,7.25,s,Unknown
214,0,2,male,30.0,0,0,13.0,s,Unknown
215,0,3,male,25.0,1,0,7.75,q,Unknown
216,1,1,female,31.0,1,0,113.275,c,D
217,1,3,female,27.0,0,0,7.925,s,Unknown
218,0,2,male,42.0,1,0,27.0,s,Unknown
219,1,1,female,32.0,0,0,76.2917,c,D
220,0,2,male,30.0,0,0,10.5,s,Unknown
221,1,3,male,16.0,0,0,8.05,s,Unknown
222,0,2,male,27.0,0,0,13.0,s,Unknown
223,0,3,male,51.0,0,0,8.05,s,Unknown
224,0,3,male,25.0,0,0,7.8958,s,Unknown
225,1,1,male,38.0,1,0,90.0,s,C
226,0,3,male,22.0,0,0,9.35,s,Unknown
227,1,2,male,19.0,0,0,10.5,s,Unknown
228,0,3,male,20.5,0,0,7.25,s,Unknown
229,0,2,male,18.0,0,0,13.0,s,Unknown
230,0,3,female,21.5,3,1,25.4667,s,Unknown
231,1,1,female,35.0,1,0,83.475,s,C
232,0,3,male,29.0,0,0,7.775,s,Unknown
233,0,2,male,59.0,0,0,13.5,s,Unknown
234,1,3,female,5.0,4,2,31.3875,s,Unknown
235,0,2,male,24.0,0,0,10.5,s,Unknown
236,0,3,female,21.5,0,0,7.55,s,Unknown
237,0,2,male,44.0,1,0,26.0,s,Unknown
238,1,2,female,8.0,0,2,26.25,s,Unknown
239,0,2,male,19.0,0,0,10.5,s,Unknown
240,0,2,male,33.0,0,0,12.275,s,Unknown
241,0,3,female,21.5,1,0,14.4542,c,Unknown
242,1,3,female,21.5,1,0,15.5,q,Unknown
243,0,2,male,29.0,0,0,10.5,s,Unknown
244,0,3,male,22.0,0,0,7.125,s,Unknown
245,0,3,male,30.0,0,0,7.225,c,Unknown
246,0,1,male,44.0,2,0,90.0,q,C
247,0,3,female,25.0,0,0,7.775,s,Unknown
248,1,2,female,24.0,0,2,14.5,s,Unknown
249,1,1,male,37.0,1,1,52.5542,s,D
250,0,2,male,54.0,1,0,26.0,s,Unknown
251,0,3,male,25.0,0,0,7.25,s,Unknown
252,0,3,female,29.0,1,1,10.4625,s,G
253,0,1,male,62.0,0,0,26.55,s,C
254,0,3,male,30.0,1,0,16.1,s,Unknown
255,0,3,female,41.0,0,2,20.2125,s,Unknown
256,1,3,female,29.0,0,2,15.2458,c,Unknown
257,1,1,female,35.0,0,0,79.2,c,Unknown
258,1,1,female,30.0,0,0,86.5,s,B
259,1,1,female,35.0,0,0,249.00622000000035,c,Unknown
260,1,2,female,50.0,0,1,26.0,s,Unknown
261,0,3,male,25.0,0,0,7.75,q,Unknown
262,1,3,male,3.0,4,2,31.3875,s,Unknown
263,0,1,male,52.0,1,1,79.65,s,E
264,0,1,male,40.0,0,0,0.0,s,B
265,0,3,female,21.5,0,0,7.75,q,Unknown
266,0,2,male,36.0,0,0,10.5,s,Unknown
267,0,3,male,16.0,4,1,39.6875,s,Unknown
268,1,3,male,25.0,1,0,7.775,s,Unknown
269,1,1,female,58.0,0,1,153.4625,s,C
270,1,1,female,35.0,0,0,135.6333,s,C
271,0,1,male,40.0,0,0,31.0,s,Unknown
272,1,3,male,25.0,0,0,0.0,s,Unknown
273,1,2,female,41.0,0,1,19.5,s,Unknown
274,0,1,male,37.0,0,1,29.7,c,C
275,1,3,female,21.5,0,0,7.75,q,Unknown
276,1,1,female,63.0,1,0,77.9583,s,D
277,0,3,female,45.0,0,0,7.75,s,Unknown
278,0,2,male,30.0,0,0,0.0,s,Unknown
279,0,3,male,7.0,4,1,29.125,q,Unknown
280,1,3,female,35.0,1,1,20.25,s,Unknown
281,0,3,male,65.0,0,0,7.75,q,Unknown
282,0,3,male,28.0,0,0,7.8542,s,Unknown
283,0,3,male,16.0,0,0,9.5,s,Unknown
284,1,3,male,19.0,0,0,8.05,s,Unknown
285,0,1,male,40.0,0,0,26.0,s,A
286,0,3,male,33.0,0,0,8.6625,c,Unknown
287,1,3,male,30.0,0,0,9.5,s,Unknown
288,0,3,male,22.0,0,0,7.8958,s,Unknown
289,1,2,male,42.0,0,0,13.0,s,Unknown
290,1,3,female,22.0,0,0,7.75,q,Unknown
291,1,1,female,26.0,0,0,78.85,s,Unknown
292,1,1,female,19.0,1,0,91.0792,c,B
293,0,2,male,36.0,0,0,12.875,c,D
294,0,3,female,24.0,0,0,8.85,s,Unknown
295,0,3,male,24.0,0,0,7.8958,s,Unknown
296,0,1,male,40.0,0,0,27.7208,c,Unknown
297,0,3,male,23.5,0,0,7.2292,c,Unknown
298,0,1,female,2.0,1,2,151.55,s,C
299,1,1,male,40.0,0,0,30.5,s,C
300,1,1,female,50.0,0,1,247.5208,c,B
301,1,3,female,21.5,0,0,7.75,q,Unknown
302,1,3,male,25.0,2,0,23.25,q,Unknown
303,0,3,male,19.0,0,0,0.0,s,Unknown
304,1,2,female,28.0,0,0,12.35,q,E
305,0,3,male,25.0,0,0,8.05,s,Unknown
306,1,1,male,0.92,1,2,151.55,s,C
307,1,1,female,35.0,0,0,110.8833,c,Unknown
308,1,1,female,17.0,1,0,108.9,c,C
309,0,2,male,30.0,1,0,24.0,c,Unknown
310,1,1,female,30.0,0,0,56.9292,c,E
311,1,1,female,24.0,0,0,83.1583,c,C
312,1,1,female,18.0,2,2,249.00622000000035,c,B
313,0,2,female,26.0,1,1,26.0,s,Unknown
314,0,3,male,28.0,0,0,7.8958,s,Unknown
315,0,2,male,43.0,1,1,26.25,s,Unknown
316,1,3,female,26.0,0,0,7.8542,s,Unknown
317,1,2,female,24.0,1,0,26.0,s,Unknown
318,0,2,male,54.0,0,0,14.0,s,Unknown
319,1,1,female,31.0,0,2,164.8667,s,C
320,1,1,female,40.0,1,1,134.5,c,E
321,0,3,male,22.0,0,0,7.25,s,Unknown
322,0,3,male,27.0,0,0,7.8958,s,Unknown
323,1,2,female,30.0,0,0,12.35,q,Unknown
324,1,2,female,22.0,1,1,29.0,s,Unknown
325,0,3,male,25.0,8,2,69.55,s,Unknown
326,1,1,female,36.0,0,0,135.6333,c,C
327,0,3,male,61.0,0,0,6.2375,s,Unknown
328,1,2,female,36.0,0,0,13.0,s,D
329,1,3,female,31.0,1,1,20.525,s,Unknown
330,1,1,female,16.0,0,1,57.9792,c,B
331,1,3,female,21.5,2,0,23.25,q,Unknown
332,0,1,male,45.5,0,0,28.5,s,C
333,0,1,male,38.0,0,1,153.4625,s,C
334,0,3,male,16.0,2,0,18.0,s,Unknown
335,1,1,female,35.0,1,0,133.65,s,Unknown
336,0,3,male,25.0,0,0,7.8958,s,Unknown
337,0,1,male,29.0,1,0,66.6,s,C
338,1,1,female,41.0,0,0,134.5,c,E
339,1,3,male,45.0,0,0,8.05,s,Unknown
340,0,1,male,45.0,0,0,35.5,s,T
341,1,2,male,2.0,1,1,26.0,s,F
342,1,1,female,24.0,3,2,249.00622000000035,s,C
343,0,2,male,28.0,0,0,13.0,s,Unknown
344,0,2,male,25.0,0,0,13.0,s,Unknown
345,0,2,male,36.0,0,0,13.0,s,Unknown
346,1,2,female,24.0,0,0,13.0,s,F
347,1,2,female,40.0,0,0,13.0,s,Unknown
348,1,3,female,21.5,1,0,16.1,s,Unknown
349,1,3,male,3.0,1,1,15.9,s,Unknown
350,0,3,male,42.0,0,0,8.6625,s,Unknown
351,0,3,male,23.0,0,0,9.225,s,Unknown
352,0,1,male,40.0,0,0,35.0,s,C
353,0,3,male,15.0,1,1,7.2292,c,Unknown
354,0,3,male,25.0,1,0,17.8,s,Unknown
355,0,3,male,25.0,0,0,7.225,c,Unknown
356,0,3,male,28.0,0,0,9.5,s,Unknown
357,1,1,female,22.0,0,1,55.0,s,E
358,0,2,female,38.0,0,0,13.0,s,Unknown
359,1,3,female,21.5,0,0,7.8792,q,Unknown
360,1,3,female,21.5,0,0,7.8792,q,Unknown
361,0,3,male,40.0,1,4,27.9,s,Unknown
362,0,2,male,29.0,1,0,27.7208,c,Unknown
363,0,3,female,45.0,0,1,14.4542,c,Unknown
364,0,3,male,35.0,0,0,7.05,s,Unknown
365,0,3,male,25.0,1,0,15.5,q,Unknown
366,0,3,male,30.0,0,0,7.25,s,Unknown
367,1,1,female,60.0,1,0,75.25,c,D
368,1,3,female,21.5,0,0,7.2292,c,Unknown
369,1,3,female,21.5,0,0,7.75,q,Unknown
370,1,1,female,24.0,0,0,69.3,c,B
371,1,1,male,25.0,1,0,55.4417,c,E
372,0,3,male,18.0,1,0,6.4958,s,Unknown
373,0,3,male,19.0,0,0,8.05,s,Unknown
374,0,1,male,22.0,0,0,135.6333,c,Unknown
375,0,3,female,3.0,3,1,21.075,s,Unknown
376,1,1,female,35.0,1,0,82.1708,c,Unknown
377,1,3,female,22.0,0,0,7.25,s,Unknown
378,0,1,male,27.0,0,2,211.5,c,C
379,0,3,male,20.0,0,0,4.0125,c,Unknown
380,0,3,male,19.0,0,0,7.775,s,Unknown
381,1,1,female,42.0,0,0,227.525,c,Unknown
382,1,3,female,1.0,0,2,15.7417,c,Unknown
383,0,3,male,32.0,0,0,7.925,s,Unknown
384,1,1,female,35.0,1,0,52.0,s,Unknown
385,0,3,male,25.0,0,0,7.8958,s,Unknown
386,0,2,male,18.0,0,0,73.5,s,Unknown
387,0,3,male,1.0,5,2,46.9,s,Unknown
388,1,2,female,36.0,0,0,13.0,s,Unknown
389,0,3,male,25.0,0,0,7.7292,q,Unknown
390,1,2,female,17.0,0,0,12.0,c,Unknown
391,1,1,male,36.0,1,2,120.0,s,B
392,1,3,male,21.0,0,0,7.7958,s,Unknown
393,0,3,male,28.0,2,0,7.925,s,Unknown
394,1,1,female,23.0,1,0,113.275,c,D
395,1,3,female,24.0,0,2,16.7,s,G
396,0,3,male,22.0,0,0,7.7958,s,Unknown
397,0,3,female,31.0,0,0,7.8542,s,Unknown
398,0,2,male,46.0,0,0,26.0,s,Unknown
399,0,2,male,23.0,0,0,10.5,s,Unknown
400,1,2,female,28.0,0,0,12.65,s,Unknown
401,1,3,male,39.0,0,0,7.925,s,Unknown
402,0,3,male,26.0,0,0,8.05,s,Unknown
403,0,3,female,21.0,1,0,9.825,s,Unknown
404,0,3,male,28.0,1,0,15.85,s,Unknown
405,0,3,female,20.0,0,0,8.6625,s,Unknown
406,0,2,male,34.0,1,0,21.0,s,Unknown
407,0,3,male,51.0,0,0,7.75,s,Unknown
408,1,2,male,3.0,1,1,18.75,s,Unknown
409,0,3,male,21.0,0,0,7.775,s,Unknown
410,0,3,female,21.5,3,1,25.4667,s,Unknown
411,0,3,male,25.0,0,0,7.8958,s,Unknown
412,0,3,male,25.0,0,0,6.8583,q,Unknown
413,1,1,female,33.0,1,0,90.0,q,C
414,0,2,male,30.0,0,0,0.0,s,Unknown
415,1,3,male,44.0,0,0,7.925,s,Unknown
416,0,3,female,21.5,0,0,8.05,s,Unknown
417,1,2,female,34.0,1,1,32.5,s,Unknown
418,1,2,female,18.0,0,2,13.0,s,Unknown
419,0,2,male,30.0,0,0,13.0,s,Unknown
420,0,3,female,10.0,0,2,24.15,s,Unknown
421,0,3,male,25.0,0,0,7.8958,c,Unknown
422,0,3,male,21.0,0,0,7.7333,q,Unknown
423,0,3,male,29.0,0,0,7.875,s,Unknown
424,0,3,female,28.0,1,1,14.4,s,Unknown
425,0,3,male,18.0,1,1,20.2125,s,Unknown
426,0,3,male,25.0,0,0,7.25,s,Unknown
427,1,2,female,28.0,1,0,26.0,s,Unknown
428,1,2,female,19.0,0,0,26.0,s,Unknown
429,0,3,male,25.0,0,0,7.75,q,Unknown
430,1,3,male,32.0,0,0,8.05,s,E
431,1,1,male,28.0,0,0,26.55,s,C
432,1,3,female,21.5,1,0,16.1,s,Unknown
433,1,2,female,42.0,1,0,26.0,s,Unknown
434,0,3,male,17.0,0,0,7.125,s,Unknown
435,0,1,male,50.0,1,0,55.9,s,E
436,1,1,female,14.0,1,2,120.0,s,B
437,0,3,female,21.0,2,2,34.375,s,Unknown
438,1,2,female,24.0,2,3,18.75,s,Unknown
439,0,1,male,64.0,1,4,249.00622000000035,s,C
440,0,2,male,31.0,0,0,10.5,s,Unknown
441,1,2,female,45.0,1,1,26.25,s,Unknown
442,0,3,male,20.0,0,0,9.5,s,Unknown
443,0,3,male,25.0,1,0,7.775,s,Unknown
444,1,2,female,28.0,0,0,13.0,s,Unknown
